Muestra,Thread,Metodo,Tiempo
1,Thread 1 is wrtting, Tiempo getFileLogger,245300
1,Thread 2 is writting, Tiempo getFileLogger,247100
1,Thread 2 is writting, Tiempo log,4017800
2,Thread 2 is writting, Tiempo getFileLogger,200
1,Thread 1 is wrtting, Tiempo log,5001300
2,Thread 1 is wrtting, Tiempo getFileLogger,300
2,Thread 2 is writting, Tiempo log,2815700
3,Thread 2 is writting, Tiempo getFileLogger,300
2,Thread 1 is wrtting, Tiempo log,4273700
3,Thread 1 is wrtting, Tiempo getFileLogger,300
3,Thread 2 is writting, Tiempo log,4049700
4,Thread 2 is writting, Tiempo getFileLogger,200
3,Thread 1 is wrtting, Tiempo log,3380300
4,Thread 1 is wrtting, Tiempo getFileLogger,200
4,Thread 2 is writting, Tiempo log,3384800
5,Thread 2 is writting, Tiempo getFileLogger,400
4,Thread 1 is wrtting, Tiempo log,3356000
5,Thread 1 is wrtting, Tiempo getFileLogger,300
5,Thread 2 is writting, Tiempo log,3337600
6,Thread 2 is writting, Tiempo getFileLogger,200
5,Thread 1 is wrtting, Tiempo log,3887700
6,Thread 1 is wrtting, Tiempo getFileLogger,300
6,Thread 2 is writting, Tiempo log,3933800
7,Thread 2 is writting, Tiempo getFileLogger,400
6,Thread 1 is wrtting, Tiempo log,3370400
7,Thread 1 is wrtting, Tiempo getFileLogger,200
7,Thread 2 is writting, Tiempo log,3696900
8,Thread 2 is writting, Tiempo getFileLogger,400
7,Thread 1 is wrtting, Tiempo log,3765100
8,Thread 1 is wrtting, Tiempo getFileLogger,300
8,Thread 2 is writting, Tiempo log,3468000
9,Thread 2 is writting, Tiempo getFileLogger,400
8,Thread 1 is wrtting, Tiempo log,3390100
9,Thread 1 is wrtting, Tiempo getFileLogger,300
9,Thread 2 is writting, Tiempo log,3772300
10,Thread 2 is writting, Tiempo getFileLogger,300
9,Thread 1 is wrtting, Tiempo log,4388000
10,Thread 1 is wrtting, Tiempo getFileLogger,800
10,Thread 2 is writting, Tiempo log,3957200
11,Thread 2 is writting, Tiempo getFileLogger,400
10,Thread 1 is wrtting, Tiempo log,4022400
11,Thread 1 is wrtting, Tiempo getFileLogger,400
11,Thread 2 is writting, Tiempo log,4005300
12,Thread 2 is writting, Tiempo getFileLogger,600
11,Thread 1 is wrtting, Tiempo log,3442500
12,Thread 1 is wrtting, Tiempo getFileLogger,500
12,Thread 2 is writting, Tiempo log,3297200
13,Thread 2 is writting, Tiempo getFileLogger,700
12,Thread 1 is wrtting, Tiempo log,3242400
13,Thread 1 is wrtting, Tiempo getFileLogger,500
13,Thread 2 is writting, Tiempo log,3236900
14,Thread 2 is writting, Tiempo getFileLogger,500
13,Thread 1 is wrtting, Tiempo log,3137100
14,Thread 1 is wrtting, Tiempo getFileLogger,900
14,Thread 2 is writting, Tiempo log,3191600
15,Thread 2 is writting, Tiempo getFileLogger,1800
14,Thread 1 is wrtting, Tiempo log,3120000
15,Thread 1 is wrtting, Tiempo getFileLogger,300
15,Thread 2 is writting, Tiempo log,3137000
16,Thread 2 is writting, Tiempo getFileLogger,500
15,Thread 1 is wrtting, Tiempo log,3174600
16,Thread 1 is wrtting, Tiempo getFileLogger,700
16,Thread 2 is writting, Tiempo log,3149200
17,Thread 2 is writting, Tiempo getFileLogger,600
16,Thread 1 is wrtting, Tiempo log,3946800
17,Thread 1 is wrtting, Tiempo getFileLogger,600
17,Thread 2 is writting, Tiempo log,3919900
18,Thread 2 is writting, Tiempo getFileLogger,700
17,Thread 1 is wrtting, Tiempo log,3601000
18,Thread 1 is wrtting, Tiempo getFileLogger,500
18,Thread 2 is writting, Tiempo log,3679700
19,Thread 2 is writting, Tiempo getFileLogger,900
18,Thread 1 is wrtting, Tiempo log,4186200
19,Thread 1 is wrtting, Tiempo getFileLogger,400
19,Thread 2 is writting, Tiempo log,4369800
20,Thread 2 is writting, Tiempo getFileLogger,900
19,Thread 1 is wrtting, Tiempo log,3627600
20,Thread 1 is wrtting, Tiempo getFileLogger,500
20,Thread 2 is writting, Tiempo log,3736700
20,Thread 1 is wrtting, Tiempo log,3991900
