Muestra,Proceso,Tiempo
Muestra: 1,Thread 1 is wrtting, Tiempo getFileLogger: 293300 nanosegundos
Muestra: 1,Thread 2 is writting, Tiempo getFileLogger: 284100 nanosegundos
Muestra: 1,Thread 1 is wrtting, Tiempo log: 2907700 nanosegundos
Muestra: 2,Thread 1 is wrtting, Tiempo getFileLogger: 100 nanosegundos
Muestra: 1,Thread 2 is writting, Tiempo log: 4673600 nanosegundos
Muestra: 2,Thread 2 is writting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 2,Thread 1 is wrtting, Tiempo log: 4160100 nanosegundos
Muestra: 3,Thread 1 is wrtting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 2,Thread 2 is writting, Tiempo log: 4757200 nanosegundos
Muestra: 3,Thread 2 is writting, Tiempo getFileLogger: 300 nanosegundos
Muestra: 3,Thread 1 is wrtting, Tiempo log: 4141600 nanosegundos
Muestra: 4,Thread 1 is wrtting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 3,Thread 2 is writting, Tiempo log: 3526300 nanosegundos
Muestra: 4,Thread 2 is writting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 4,Thread 2 is writting, Tiempo log: 2403100 nanosegundos
Muestra: 5,Thread 2 is writting, Tiempo getFileLogger: 100 nanosegundos
Muestra: 4,Thread 1 is wrtting, Tiempo log: 5879500 nanosegundos
Muestra: 5,Thread 1 is wrtting, Tiempo getFileLogger: 300 nanosegundos
Muestra: 5,Thread 2 is writting, Tiempo log: 3432900 nanosegundos
Muestra: 6,Thread 2 is writting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 5,Thread 1 is wrtting, Tiempo log: 3619400 nanosegundos
Muestra: 6,Thread 1 is wrtting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 6,Thread 2 is writting, Tiempo log: 3671700 nanosegundos
Muestra: 7,Thread 2 is writting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 6,Thread 1 is wrtting, Tiempo log: 3464000 nanosegundos
Muestra: 7,Thread 1 is wrtting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 7,Thread 1 is wrtting, Tiempo log: 3233200 nanosegundos
Muestra: 8,Thread 1 is wrtting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 7,Thread 2 is writting, Tiempo log: 5450200 nanosegundos
Muestra: 8,Thread 2 is writting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 8,Thread 1 is wrtting, Tiempo log: 2093800 nanosegundos
Muestra: 9,Thread 1 is wrtting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 8,Thread 2 is writting, Tiempo log: 3266100 nanosegundos
Muestra: 9,Thread 2 is writting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 9,Thread 1 is wrtting, Tiempo log: 3263600 nanosegundos
Muestra: 10,Thread 1 is wrtting, Tiempo getFileLogger: 300 nanosegundos
Muestra: 9,Thread 2 is writting, Tiempo log: 3232700 nanosegundos
Muestra: 10,Thread 2 is writting, Tiempo getFileLogger: 300 nanosegundos
Muestra: 10,Thread 1 is wrtting, Tiempo log: 3311400 nanosegundos
Muestra: 11,Thread 1 is wrtting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 10,Thread 2 is writting, Tiempo log: 4056100 nanosegundos
Muestra: 11,Thread 2 is writting, Tiempo getFileLogger: 300 nanosegundos
Muestra: 11,Thread 1 is wrtting, Tiempo log: 3988100 nanosegundos
Muestra: 12,Thread 1 is wrtting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 11,Thread 2 is writting, Tiempo log: 3161500 nanosegundos
Muestra: 12,Thread 2 is writting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 12,Thread 1 is wrtting, Tiempo log: 3199700 nanosegundos
Muestra: 13,Thread 1 is wrtting, Tiempo getFileLogger: 400 nanosegundos
Muestra: 12,Thread 2 is writting, Tiempo log: 3215800 nanosegundos
Muestra: 13,Thread 2 is writting, Tiempo getFileLogger: 300 nanosegundos
Muestra: 13,Thread 1 is wrtting, Tiempo log: 3181500 nanosegundos
Muestra: 14,Thread 1 is wrtting, Tiempo getFileLogger: 300 nanosegundos
Muestra: 13,Thread 2 is writting, Tiempo log: 3382400 nanosegundos
Muestra: 14,Thread 2 is writting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 14,Thread 1 is wrtting, Tiempo log: 3449000 nanosegundos
Muestra: 15,Thread 1 is wrtting, Tiempo getFileLogger: 400 nanosegundos
Muestra: 15,Thread 1 is wrtting, Tiempo log: 2263800 nanosegundos
Muestra: 16,Thread 1 is wrtting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 14,Thread 2 is writting, Tiempo log: 5373000 nanosegundos
Muestra: 15,Thread 2 is writting, Tiempo getFileLogger: 300 nanosegundos
Muestra: 16,Thread 1 is wrtting, Tiempo log: 2974900 nanosegundos
Muestra: 17,Thread 1 is wrtting, Tiempo getFileLogger: 400 nanosegundos
Muestra: 15,Thread 2 is writting, Tiempo log: 3676300 nanosegundos
Muestra: 16,Thread 2 is writting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 17,Thread 1 is wrtting, Tiempo log: 4025500 nanosegundos
Muestra: 18,Thread 1 is wrtting, Tiempo getFileLogger: 300 nanosegundos
Muestra: 16,Thread 2 is writting, Tiempo log: 3775800 nanosegundos
Muestra: 17,Thread 2 is writting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 18,Thread 1 is wrtting, Tiempo log: 3219600 nanosegundos
Muestra: 19,Thread 1 is wrtting, Tiempo getFileLogger: 200 nanosegundos
Muestra: 17,Thread 2 is writting, Tiempo log: 3701000 nanosegundos
Muestra: 18,Thread 2 is writting, Tiempo getFileLogger: 300 nanosegundos
Muestra: 19,Thread 1 is wrtting, Tiempo log: 3811200 nanosegundos
Muestra: 20,Thread 1 is wrtting, Tiempo getFileLogger: 1300 nanosegundos
Muestra: 18,Thread 2 is writting, Tiempo log: 3639800 nanosegundos
Muestra: 19,Thread 2 is writting, Tiempo getFileLogger: 500 nanosegundos
Muestra: 20,Thread 1 is wrtting, Tiempo log: 3637400 nanosegundos
Muestra: 19,Thread 2 is writting, Tiempo log: 3347800 nanosegundos
Muestra: 20,Thread 2 is writting, Tiempo getFileLogger: 300 nanosegundos
Muestra: 20,Thread 2 is writting, Tiempo log: 1636400 nanosegundos
